Volgorde;Naam;Modaliteit;Lijn;Lijn_select;RADIUS;Label;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;Unnamed: 11
1;Dijkgraafplein;Tram;17 | 27;17|27;5;17 | 27 - Dijkgraafplein;POINT(4.786911 52.355548);POINT(52.355548 4.786911);4.786911;52.355548;
2;Baden Powellweg;Tram;17 | 27;17|27;5;17 | 27 - Baden Powellweg;POINT(4.791584 52.356492);POINT(52.356492 4.791584);4.791584;52.356492;
3;Hoekenes;Tram;17 | 27;17|27;5;17 | 27 - Hoekenes;POINT(4.799095 52.358004);POINT(52.358004 4.799095);4.799095;52.358004;
4;Osdorpplein West;Tram;17 | 27;17|27;5;17 | 27 - Osdorpplein West;POINT(4.803203 52.359418);POINT(52.359418 4.803203);4.803203;52.359418;
5;Osdorpplein Oost;Tram;17 | 27;17|27;5;17 | 27 - Osdorpplein Oost;POINT(4.807557 52.359622);POINT(52.359622 4.807557);4.807557;52.359622;
6;Meer en Vaart;Tram;1 | 17 | 27;01|17|27;5;1 | 17 | 27 - Meer en Vaart;POINT(4.810137 52.356401);POINT(52.356401 4.810137);4.810137;52.356401;
7;Johan Huizingalaan;Tram;1 | 17 | 27;01|17|27;5;1 | 17 | 27 - Johan Huizingalaan;POINT(4.827325 52.357816);POINT(52.357816 4.827325);4.827325;52.357816;
8;Station Lelylaan;Tram;1 | 17 | 27 | 50 | 51;01|17|27|50|51;5;1 | 17 | 27 | 50 | 51 - Station Lelylaan;POINT(4.834373 52.357894);POINT(52.357894 4.834373);4.834373;52.357894;
9;Derkinderenstraat;Tram;1 | 17 | 27;01|17|27;5;1 | 17 | 27 - Derkinderenstraat;POINT(4.840032 52.357957);POINT(52.357957 4.840032);4.840032;52.357957;
10;Surinameplein / Curaçaostraat;Tram;1 | 17 | 27;01|17|27;5;1 | 17 | 27 - Surinameplein / Curaçaostraat;POINT(4.853117 52.358384);POINT(52.358384 4.853117);4.853117;52.358384;
11;J.P. Heijestraat;Tram;7 | 17;07|17;5;7 | 17 - J.P. Heijestraat;POINT(4.862701 52.364811);POINT(52.364811 4.862701);4.862701;52.364811;
12;Kinkerstraat / Bilderdijkstraat;Tram;3 | 7 | 17;03|07|17;5;3 | 7 | 17 - Kinkerstraat / Bilderdijkstraat;POINT(4.872164 52.367246);POINT(52.367246 4.872164);4.872164;52.367246;
